Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),ZONE ONE:Zone Air System Sensible Heating Energy [J](Hourly),ZONE ONE:Zone Air System Sensible Cooling Energy [J](Hourly),ZONE ONE:Zone Air Temperature [C](Hourly),DistrictHeating:Facility [J](Hourly),DistrictCooling:Facility [J](Hourly) 
 07/21  01:00:00,23.453249999999998,0.0,0.0,22.083927484519806,0.0,0.0 
 07/21  02:00:00,22.935499999999999,0.0,0.0,21.926930809516049,0.0,0.0 
 07/21  03:00:00,22.567625,0.0,0.0,21.805778314966479,0.0,0.0 
 07/21  04:00:00,22.240624999999999,0.0,0.0,21.712902214611299,0.0,0.0 
 07/21  05:00:00,21.981749999999999,0.0,0.0,21.6397309355238,0.0,0.0 
 07/21  06:00:00,22.036249999999997,0.0,0.0,21.70864743762628,0.0,0.0 
 07/21  07:00:00,22.594875,0.0,0.0,22.430803096463536,0.0,0.0 
 07/21  08:00:00,24.039124999999996,0.0,0.0,23.41328011343819,0.0,0.0 
 07/21  09:00:00,26.028374999999998,0.0,279460.98166705018,23.986248441546765,2.4581936486356427e-8,279155.2517023405 
 07/21  10:00:00,27.963124999999999,0.0,907227.4384128676,23.999999996612855,3.256275249441387e-8,907227.4324245912 
 07/21  11:00:00,29.679874999999997,0.0,1371022.5195170206,23.999999999999969,3.857394403894432e-8,1371022.5195170374 
 07/21  12:00:00,30.974249999999999,0.0,1626344.472855064,23.999999999999987,0.0,1626344.4728549787 
 07/21  13:00:00,31.927999999999999,0.0,1750387.9732436035,24.00000000000001,5.7195848057745027e-8,1750387.9732436639 
 07/21  14:00:00,32.595625,0.0,1921664.5605778406,24.000000000000055,7.786411515553482e-8,1921664.5605778192 
 07/21  15:00:00,32.8,0.0,2009492.1096182364,24.0,1.524540493846871e-8,2009492.1096181067 
 07/21  16:00:00,32.39125,0.0,1918168.58297433,24.000000000000005,0.0,1918168.5829742705 
 07/21  17:00:00,31.601,0.0,1635419.6642466766,24.00000000000001,5.586571205640212e-8,1635419.6642467334 
 07/21  18:00:00,30.592749999999996,0.0,1286232.4854689993,24.0,3.228137757105287e-8,1286232.4854689094 
 07/21  19:00:00,29.162124999999997,0.0,750213.9569789971,23.999999999999998,1.2047962627548259e-8,750213.9569790105 
 07/21  20:00:00,27.799624999999997,0.0,76911.31018807396,23.948265252591466,5.051958851254312e-10,76911.31018807335 
 07/21  21:00:00,26.736874999999999,0.0,0.0,23.442120624484319,0.0,0.0 
 07/21  22:00:00,25.755874999999997,0.0,0.0,22.94070675696976,0.0,0.0 
 07/21  23:00:00,24.911125,0.0,0.0,22.57667900178773,0.0,0.0 
 07/21  24:00:00,24.148124999999998,0.0,0.0,22.2941043290179,0.0,0.0 
 01/21  01:00:00,-21.2,5884000.995536375,0.0,20.0,5884000.995536374,1.6350441001122818e-7 
 01/21  02:00:00,-21.2,5884000.995536375,0.0,20.0,5884000.995536374,1.6350441001122818e-7 
 01/21  03:00:00,-21.2,5884000.995536377,0.0,20.0,5884000.995536376,1.6370904631912709e-7 
 01/21  04:00:00,-21.2,5884000.995536373,0.0,20.0,5884000.995536372,1.6329977370332927e-7 
 01/21  05:00:00,-21.2,5884000.995536377,0.0,20.0,5884000.995536376,1.6370904631912709e-7 
 01/21  06:00:00,-21.2,5884000.995536373,0.0,20.0,5884000.995536372,1.6329977370332927e-7 
 01/21  07:00:00,-21.2,5884000.995536377,0.0,20.0,5884000.995536376,1.6370904631912709e-7 
 01/21  08:00:00,-21.2,5884000.995536375,0.0,20.0,5884000.995536374,1.6350441001122818e-7 
 01/21  09:00:00,-21.2,5884000.995536375,0.0,20.0,5884000.995536374,1.6350441001122818e-7 
 01/21  10:00:00,-21.2,5884000.995536375,0.0,20.0,5884000.995536374,1.6350441001122818e-7 
 01/21  11:00:00,-21.2,5884000.995536375,0.0,20.0,5884000.995536374,1.6350441001122818e-7 
 01/21  12:00:00,-21.2,5884000.995536377,0.0,20.0,5884000.995536376,1.6370904631912709e-7 
 01/21  13:00:00,-21.2,5884000.995536373,0.0,20.0,5884000.995536372,1.6329977370332927e-7 
 01/21  14:00:00,-21.2,5884000.995536377,0.0,20.0,5884000.995536376,1.6370904631912709e-7 
 01/21  15:00:00,-21.2,5884000.995536373,0.0,20.0,5884000.995536372,1.6329977370332927e-7 
 01/21  16:00:00,-21.2,5884000.995536377,0.0,20.0,5884000.995536376,1.6370904631912709e-7 
 01/21  17:00:00,-21.2,5884000.995536375,0.0,20.0,5884000.995536374,1.6350441001122818e-7 
 01/21  18:00:00,-21.2,5884000.995536375,0.0,20.0,5884000.995536374,1.6350441001122818e-7 
 01/21  19:00:00,-21.2,5884000.995536375,0.0,20.0,5884000.995536374,1.6350441001122818e-7 
 01/21  20:00:00,-21.2,5884000.995536375,0.0,20.0,5884000.995536374,1.6350441001122818e-7 
 01/21  21:00:00,-21.2,5884000.995536377,0.0,20.0,5884000.995536376,1.6370904631912709e-7 
 01/21  22:00:00,-21.2,5884000.995536373,0.0,20.0,5884000.995536372,1.6329977370332927e-7 
 01/21  23:00:00,-21.2,5884000.995536377,0.0,20.0,5884000.995536376,1.6370904631912709e-7 
 01/21  24:00:00,-21.2,5884000.995536373,0.0,20.0,5884000.995536372,1.6329977370332927e-7 
