Date/Time,DistrictHeating:Facility [J](Hourly),DistrictCooling:Facility [J](Hourly) 
 07/21  01:00:00,0.0,0.0 
 07/21  02:00:00,0.0,0.0 
 07/21  03:00:00,0.0,0.0 
 07/21  04:00:00,0.0,0.0 
 07/21  05:00:00,0.0,0.0 
 07/21  06:00:00,0.0,0.0 
 07/21  07:00:00,0.0,0.0 
 07/21  08:00:00,0.0,0.0 
 07/21  09:00:00,2.4581936486356427e-8,279155.2517023405 
 07/21  10:00:00,3.256275249441387e-8,907227.4324245912 
 07/21  11:00:00,3.857394403894432e-8,1371022.5195170374 
 07/21  12:00:00,0.0,1626344.4728549787 
 07/21  13:00:00,5.7195848057745027e-8,1750387.9732436639 
 07/21  14:00:00,7.786411515553482e-8,1921664.5605778192 
 07/21  15:00:00,1.524540493846871e-8,2009492.1096181067 
 07/21  16:00:00,0.0,1918168.5829742705 
 07/21  17:00:00,5.586571205640212e-8,1635419.6642467334 
 07/21  18:00:00,3.228137757105287e-8,1286232.4854689094 
 07/21  19:00:00,1.2047962627548259e-8,750213.9569790105 
 07/21  20:00:00,5.051958851254312e-10,76911.31018807335 
 07/21  21:00:00,0.0,0.0 
 07/21  22:00:00,0.0,0.0 
 07/21  23:00:00,0.0,0.0 
 07/21  24:00:00,0.0,0.0 
 01/21  01:00:00,5884000.995536374,1.6350441001122818e-7 
 01/21  02:00:00,5884000.995536374,1.6350441001122818e-7 
 01/21  03:00:00,5884000.995536376,1.6370904631912709e-7 
 01/21  04:00:00,5884000.995536372,1.6329977370332927e-7 
 01/21  05:00:00,5884000.995536376,1.6370904631912709e-7 
 01/21  06:00:00,5884000.995536372,1.6329977370332927e-7 
 01/21  07:00:00,5884000.995536376,1.6370904631912709e-7 
 01/21  08:00:00,5884000.995536374,1.6350441001122818e-7 
 01/21  09:00:00,5884000.995536374,1.6350441001122818e-7 
 01/21  10:00:00,5884000.995536374,1.6350441001122818e-7 
 01/21  11:00:00,5884000.995536374,1.6350441001122818e-7 
 01/21  12:00:00,5884000.995536376,1.6370904631912709e-7 
 01/21  13:00:00,5884000.995536372,1.6329977370332927e-7 
 01/21  14:00:00,5884000.995536376,1.6370904631912709e-7 
 01/21  15:00:00,5884000.995536372,1.6329977370332927e-7 
 01/21  16:00:00,5884000.995536376,1.6370904631912709e-7 
 01/21  17:00:00,5884000.995536374,1.6350441001122818e-7 
 01/21  18:00:00,5884000.995536374,1.6350441001122818e-7 
 01/21  19:00:00,5884000.995536374,1.6350441001122818e-7 
 01/21  20:00:00,5884000.995536374,1.6350441001122818e-7 
 01/21  21:00:00,5884000.995536376,1.6370904631912709e-7 
 01/21  22:00:00,5884000.995536372,1.6329977370332927e-7 
 01/21  23:00:00,5884000.995536376,1.6370904631912709e-7 
 01/21  24:00:00,5884000.995536372,1.6329977370332927e-7 
